concept,polarity,closeness_male,closeness_female,closeness_global_north,closeness_global_south
global_equipment,positive,,,,
global_supplier,positive,,,,
global_provider,positive,,,,
general_equipment,positive,,,,
global_investor,positive,,,,
global_investment,positive,,,,
global_carmaker,positive,,,,
worldwide_unit,positive,,,,
unit_subpoena,negative,,,,
load_price,negative,,,,
new_unit,positive,,,,
local_unit,positive,,,,
new_party,positive,,,,
impact_negative,negative,,,,
slumped,negative,,,,
negative_indicator,negative,,,,
modern_size,positive,,,,
modern_technology,positive,,,,
modern_convenience,positive,,,,
modern_equipment,positive,,,,
modern_engine,positive,,,,
new_acquisition,positive,,,,
new_big,positive,,,,
new_norm,positive,,,,
beer_differ,negative,,,,
new_cycle,positive,,,,
new_recommendation,positive,,,,
new_buyer,positive,,,,
new_strategy,positive,,,,
sweet_runner,positive,,,,
new_auditor,positive,,,,
new_perk,positive,,,,
new_agreement,positive,,,,
new_instrument,positive,,,,
new_functionality,positive,,,,
new_subsidiary,positive,,,,
new_incentive,positive,,,,
new_beer,positive,,,,
novel_drug,positive,,,,
new_community,positive,,,,
new_publisher,positive,,,,
new_version,positive,,,,
new_child,positive,,,,
novel_method,positive,,,,
new_aircraft,positive,,,,
new_segment,positive,,,,
new_organization,positive,,,,
new_method,positive,,,,
natural_resource,positive,,,,
new_distributor,positive,,,,
new_equipment,positive,,,,
new_investor,positive,,,,
new_tunnel,positive,,,,
new_size,positive,,,,
new_wording,positive,,,,
new_scheme,positive,,,,
new_airport,positive,,,,
new_guideline,positive,,,,
new_partner,positive,,,,
new_identity,positive,,,,
new_giant,positive,,,,
new_ownership,positive,,,,
new_currency,positive,,,,
new_entrant,positive,,,,
smart_investor,positive,,,,
new_appointment,positive,,,,
new_regulator,positive,,,,
new_tariff,positive,,,,
new_sedan,positive,,,,
new_truck,positive,,,,
new_offensive,positive,,,,
new_sprinter,positive,,,,
new_brake,positive,,,,
new_silhouette,positive,,,,
new_insight,positive,,,,
new_dimension,positive,,,,
new_protocol,positive,,,,
new_rumor,positive,,,,
minimize_time,negative,,,,
negative_recommendation,negative,,,,
negative_bias,negative,,,,
way_undervalue,negative,,,,
happy_investor,positive,,,,
negative_catalyst,negative,,,,
grossly_undervalue,negative,,,,
automaker_undervalue,negative,,,,
undervalue_textile,negative,,,,
local_partner,positive,,,,
provisional_amendment,negative,,,,
local_investor,positive,,,,
mobile_technology,positive,,,,
industrial_technology,positive,,,,
available_technology,positive,,,,
local_bidder,positive,,,,
poach_officer,negative,,,,
poach_scientist,negative,,,,
impeach_scum,negative,,,,
army_intervene,negative,,,,
electric_automaker,positive,,,,
automatically_protect,negative,,,,
intrusion,negative,,,,
southwestern_france,negative,,,,
southwestern_finland,negative,,,,
